store_id,uptime_last_hour,uptime_last_day,uptime_last_week,downtime_last_hour,downtime_last_day,downtime_last_week
257406274356679,48.0,240.00000000000006,240.00000000000006,0.0,0.0,0.0
4647420561423097,24.0,192.0,192.0,0.0,0.0,0.0
309081616338296,24.0,216.00000000000006,240.00000000000006,0.0,0.0,0.0
4518233183474396,24.0,0.0,72.0,0.0,0.0,0.0
3225796639170927,24.0,264.00000000000006,240.00000000000006,0.0,0.0,0.0
5256638191399657,24.0,24.0,240.0,0.0,0.0,0.0
2843799253836859,0.0,0.0,0.0,24.0,216.0,240.0
7234497837508091,0.0,0.0,0.0,0.0,192.0,192.0
5970103147320386,48.0,264.0,264.0,0.0,0.0,0.0
2570905277901393,0.0,216.0,432.00000000000017,48.0,288.00000000000006,0.0
